亜 亞
唖 啞
娃 娃
阿 阿
哀 哀
愛 愛
挨 挨
姶 姶
逢 逢
葵 葵
茜 茜
穐 龝
悪 惡
握 握
渥 渥
旭 旭
葦 葦
芦 芦
鯵 鰺
梓 樟
圧 壓
斡 斡
扱 扱
宛 宛
姐 姐
虻 虻
飴 飴
絢 絢
綾 綾
鮎 鮎
或 或
粟 粟
袷 祫
安 安
庵 庵
按 按
暗 暗
案 案
闇 闇
鞍 鞍
杏 杏
以 以
伊 伊
位 位
依 依
偉 偉
囲 囲
夷 夷
委 委
威 威
尉 尉
惟 惟
意 意
慰 慰
易 易
椅 椅
為 為
畏 畏
異 異
移 移
維 維
緯 緯
胃 胃
萎 萎
衣 衣
謂 謂
違 違
遺 遺
医 醫
井 井
亥 亥
域 域
育 育
郁 郁
磯 磯
一 一
壱 壹
溢 溢
逸 逸
稲 稻
茨 茨
芋 芋
鰯 鰯
允 允
印 印
咽 咽
員 員
因 因
姻 姻
引 引
飲 飲
淫 淫
胤 胤
蔭 蔭
院 院
陰 陰
隠 隱
韻 韻
吋 吋
右 右
宇 宇
烏 烏
羽 羽
迂 迂
雨 雨
卯 卯
鵜 鵜
窺 窺
丑 丑
碓 碓
臼 臼
渦 渦
嘘 噓
唄 唄
欝 鬱
蔚 蔚
鰻 鰻
姥 姥
厩 廄
浦 浦
瓜 瓜
閏 閏
噂 噂
云 云
運 運
雲 雲
荏 荏
餌 餌
叡 叡
営 營
嬰 嬰
影 影
映 映
曳 曳
栄 榮
永 永
泳 泳
洩 洩
瑛 瑛
盈 盈
穎 穎
頴 頴
英 英
衛 衛
詠 詠
鋭 銳
液 液
疫 疫
益 益
駅 驛
悦 悅
謁 謁
越 越
閲 閱
榎 榎
厭 厭
円 円
園 園
堰 堰
奄 奄
宴 宴
延 延
怨 怨
掩 掩
援 援
沿 沿
演 演
炎 炎
焔 焰
煙 煙
燕 燕
猿 猿
縁 綠
艶 艷
苑 苑
薗 薗
遠 遠
鉛 鉛
鴛 鴛
塩 鹽
於 於
汚 污
甥 甥
凹 凹
央 央
奥 奧
往 往
応 應
押 押
旺 旺
横 橫
欧 歐
殴 毆
王 王
翁 翁
襖 襖
鴬 鶯
鴎 鷗
黄 黃
岡 岡
沖 沖
荻 荻
億 億
屋 屋
憶 憶
臆 臆
桶 桶
牡 牡
乙 乙
俺 俺
卸 缷
恩 恩
温 溫
穏 穩
音 音
下 下
化 化
仮 假
何 何
伽 伽
価 價
佳 佳
加 加
可 可
嘉 嘉
夏 夏
嫁 嫁
家 家
寡 寡
科 科
暇 暇
果 果
架 架
歌 歌
河 河
火 火
珂 珂
禍 禍
禾 禾
稼 稼
箇 箇
花 花
苛 苛
茄 茄
荷 荷
華 華
菓 菓
蝦 蝦
課 課
嘩 嘩
貨 貨
迦 迦
過 過
霞 霞
蚊 蚊
俄 俄
峨 峨
我 我
牙 牙
画 畫
臥 臥
芽 芽
蛾 蛾
賀 賀
雅 雅
餓 餓
駕 駕
介 介
会 會
解 解
回 回
塊 塊
壊 壞
廻 迴
快 快
怪 怪
悔 悔
恢 恢
懐 懷
戒 戒
拐 拐
改 改
魁 魁
晦 晦
械 械
海 海
灰 灰
界 界
皆 皆
絵 繪
芥 芥
蟹 蟹
開 開
階 階
貝 貝
凱 凱
劾 劾
外 外
咳 咳
害 害
崖 崖
慨 慨
概 概
涯 捱
碍 礙
蓋 蓋
街 街
該 該
鎧 鎧
骸 骸
浬 浬
馨 馨
蛙 蛙
垣 垣
柿 柿
蛎 蠣
鈎 鈎
劃 劃
嚇 嚇
各 各
廓 廓
拡 擴
撹 攪
格 格
核 核
殻 殼
獲 獲
確 確
穫 穫
覚 覺
角 角
赫 赫
較 較
郭 郭
閣 閣
隔 隔
革 革
学 學
岳 岳
楽 樂
額 額
顎 顎
掛 掛
笠 笠
樫 樫
橿 橿
梶 梶
鰍 鰍
潟 潟
割 割
喝 喝
恰 恰
括 括
活 活
渇 渴
滑 滑
葛 渴
褐 褐
轄 轄
且 且
鰹 鰹
叶 叶
椛 椛
樺 樺
鞄 鞄
株 株
兜 兜
竃 竈
蒲 蒲
釜 釜
鎌 鎌
噛 嚙
鴨 鴨
栢 栢
茅 茅
萱 萱
粥 粥
刈 刈
苅 苅
瓦 瓦
乾 乾
侃 侃
冠 冠
寒 寒
刊 刊
勘 勘
勧 勸
巻 卷
喚 喚
堪 堪
姦 姦
完 完
官 官
寛 寬
干 干
幹 幹
患 患
感 感
慣 慣
憾 憾
換 換
敢 敢
柑 柑
桓 桓
棺 棺
款 款
歓 歡
汗 汗
漢 漢
澗 澗
潅 灌
環 環
甘 甘
監 監
看 看
竿 竿
管 管
簡 簡
緩 緩
缶 罐
翰 翰
肝 肝
艦 艦
莞 莞
観 觀
諌 諫
貫 貫
還 還
鑑 鑑
間 間
閑 閑
関 關
陥 陷
韓 韓
館 館
舘 館
丸 丸
含 含
岸 岸
巌 巖
玩 玩
癌 癌
眼 眼
岩 岩
翫 翫
贋 贋
雁 雁
頑 頑
顔 顏
願 願
企 企
伎 伎
危 危
喜 喜
器 器
基 基
奇 奇
嬉 嬉
寄 寄
岐 岐
希 希
幾 幾
忌 忌
揮 揮
机 機
旗 旗
既 既
期 期
棋 棋
棄 棄
機 機
帰 歸
毅 毅
気 氣
汽 汽
畿 畿
祈 祈
季 季
稀 稀
紀 紀
徽 徽
規 規
記 記
貴 貴
起 起
軌 軌
輝 輝
飢 飢
騎 騎
鬼 鬼
亀 龜
偽 偽
儀 儀
妓 妓
宜 宜
戯 戲
技 技
擬 擬
欺 欺
犠 犧
疑 疑
祇 祇
義 義
蟻 蟻
誼 誼
議 議
掬 掬
菊 菊
鞠 鞠
吉 吉
吃 吃
喫 喫
桔 桔
橘 橘
詰 詰
砧 砧
杵 杵
黍 黍
却 卻
客 客
脚 腳
虐 虐
逆 逆
丘 丘
久 久
仇 仇
休 休
及 及
吸 吸
宮 宮
弓 弓
急 急
救 救
朽 朽
求 求
汲 汲
泣 泣
灸 灸
球 球
究 究
窮 窮
笈 笈
級 級
糾 糾
給 給
旧 舊
牛 牛
去 去
居 居
巨 巨
拒 拒
拠 據
挙 舉
渠 渠
虚 虛
許 許
距 距
鋸 鋸
漁 漁
禦 禦
魚 魚
亨 亨
享 享
京 京
供 供
侠 俠
僑 僑
兇 兇
競 競
共 共
凶 凶
協 協
匡 匡
卿 卿
叫 叫
喬 喬
境 境
峡 峽
強 強
彊 彊
怯 怯
恐 恐
恭 恭
挟 挾
教 教
橋 橋
況 況
狂 狂
狭 狹
矯 矯
胸 胸
脅 脅
興 興
蕎 蕎
郷 鄉
鏡 鏡
響 響
饗 饗
驚 驚
仰 仰
凝 凝
尭 堯
暁 曉
業 業
局 局
曲 曲
極 極
玉 玉
桐 桐
粁 粁
僅 僅
勤 勤
均 均
巾 巾
錦 錦
斤 斤
欣 欣
欽 欽
琴 琴
禁 禁
禽 禽
筋 筋
緊 緊
芹 芹
菌 菌
衿 衿
襟 襟
謹 謹
近 近
金 金
吟 吟
銀 銀
九 九
倶 俱
句 句
区 區
狗 狗
玖 玖
矩 矩
苦 苦
躯 軀
駆 驅
駈 駈
駒 駒
具 具
愚 愚
虞 虞
喰 餐
空 空
偶 偶
寓 寓
遇 遇
隅 隅
串 串
櫛 櫛
釧 釧
屑 屑
屈 屈
掘 掘
窟 窟
沓 沓
靴 靴
轡 轡
窪 窪
熊 熊
隈 隈
粂 粂
栗 栗
繰 繰
桑 桑
鍬 鍬
勲 勳
君 君
薫 薰
訓 訓
群 群
軍 軍
郡 郡
卦 卦
袈 袈
祁 祁
係 係
傾 傾
刑 刑
兄 兄
啓 啟
圭 圭
珪 珪
型 型
契 契
形 形
径 徑
恵 惠
慶 慶
慧 慧
憩 憩
掲 揭
携 㩦
敬 敬
景 景
桂 桂
渓 溪
畦 畦
稽 稽
系 系
経 經
継 繼
繋 繫
罫 罫
茎 莖
荊 荊
蛍 螢
計 計
詣 詢
警 警
軽 輕
頚 頸
鶏 鷄 雞
芸 芸
迎 迎
鯨 鯨
劇 劇
戟 戟
撃 擊
激 激
隙 隙 隙
桁 桁
傑 傑
欠 欠
決 決
潔 潔
穴 穴
結 結
血 血
訣 訣
月 月
件 件
倹 儉
倦 倦
健 健
兼 兼
券 券
剣 劍
