暧	abbe
晕	abkq
晖	abkq
时	adi
颢	afmbo
旷	ai
昽	aikp
晓	ajpu
昙	ammi
旸	ansh
题	aombo
晔	aopj
韪	aoqs
鹍	appym
显	atc
鹛	aupym
垦	avg
恳	avp
鹖	avpym
腽	babt
幂	bakb
胆	bam
髅	bbfdv
觅	bbhu
髌	bbjoc
髋	bbjtu
爱	bbke
册	bbm
鹏	bbpm
鹘	bbpym
髇	bbyrb
脱	bcru
腾	bfqm
脚	bgil
脓	bhbv
胜	bhqm
见	bhu
臜	bhuo
脏	big
胧	bikp
脉	bine
悬	bip
腻	bipo
膑	bjoc
冈	bk	b'k
胨	bkd
网	bkk	b'kk
刚	bkln
军	bkq
胁	bksc
肿	bl
县	bmi
删	bmln
腼	bmwl	bmw'l
胫	bnom
肠	bnsh
贝	bo
赗	boabu
赐	boaph
赒	bobgr	bob'gr
赑	boboo
赠	bocwa
财	bodh
赕	boff
贩	bohe
赂	boher
贬	bohio
赙	boibi
赃	boig
贼	boij
贱	boij
赇	boije
贻	boir
赌	bojka
贮	bojm
赎	bojnk
贿	bokb
则	boln
脍	bomi
脸	bomm
赈	bommv
赋	bompm
赡	boncr
罂	booju
败	book
赊	boomf
购	bopi
账	bopo
贶	borhu
赆	bosoy
赚	botxc
婴	bov
贴	boyr
赔	boytr
赅	boyvo
胀	bpo
皲	bqdhe
郓	bqnl
肤	bqo
脶	brob
腭	brrs
睐	budt
飖	buhnk	buhn'k
眬	buikp
瞆	bulmo
觃	bund
睁	bunsd
睑	buomm
鹞	bupym
瞩	bushb
眍	busk	bus'k
瞒	butmb
鹦	bvpym
腘	bwmi	bw'mi
胶	byck
肮	byhn
脐	bykl
胪	bys
写	bysm
脑	byuk	byu'k
錚	cbsd
颁	chmbo
鹈	chpym
颂	cimbo
郸	cjnl
冁	cjstv
爷	cksl
鹟	cmpym
錚	cnsd
鋳	cqki
兑	crhu
总	crp
鹆	crpym
贫	csho
单	cwj
兽	cwmr
栅	dbbm
枧	dbhu
樱	dbov
枣	dby
椫	dcwj
梦	ddni	ddn'i
权	de
树	dedi
柽	deg
颇	dembo
榉	dfcq
楼	dfdv
档	dfsm	dfs'm
樯	dgcw
桥	dhkl
栀	dhmu
机	dhn
枫	dhnk	dhn'k
栎	dhvd
桩	dig
栈	dij
椮	dikh
栊	dikp
檪	diod
槠	diva
柠	djmn
椟	djnk
槟	djoc
桡	djpu
栋	dkd
槛	dlit
榄	dliu
赖	dlnbo
榈	dlsr
栖	dmcw
枥	dmks
标	dmmf
橱	dmmi
桠	dmtc
槚	dmwo
极	dnhe
椭	dnlb
杨	dnsh
杩	dnvm
橹	dnwa
桧	domi
检	domm
枞	doo
桦	dopj
枪	dosu
构	dpi
枨	dpo
梼	dqki
枢	dsk	ds'k
棂	dsmf
来	dt
赉	dtbo
横	dtlc
栏	dtmm
样	dtq
栉	dtsl
桤	dusu
橼	dvmo
椤	dwln
桢	dybo
梿	dykq
椁	dyrd
栌	dys
榇	dytd
檩	dywf
温	eabt
灏	eafo
湿	eatc
艰	eav
观	ebhu
浑	ebkq
溅	eboj
测	ebon
懑	ebp
泪	ebu
泻	ebym
对	edi
濑	edlo
颡	edmbo
涞	edt
汉	ee
双	ee
叠	eeem
滩	eeog
泽	eeq
溇	efdv
圣	eg
洁	egr
浓	ehbv
涤	ehed
烫	ehf
滗	ehhu
没	ehne
沨	ehnk	ehn'k
鲨	ehnwm
沪	ehs
泺	ehvd
戏	ei
浅	eij
渗	eikh
泷	eikp
沩	eiks
怼	eip
沪	eis
泼	eive
浒	eivj
渖	ejll
泞	ejmn
渎	ejnk
滨	ejoc
浇	ejpu
潴	ekha
渐	ekql
劝	eks
浃	ekt
渊	elfl
滥	elit
浊	elmi
溃	elmo
涧	elsa
润	elsg
澜	elsw
洒	emcw
沥	emks
鸿	empm
涣	enbk
邓	enl
渌	enme
滪	enno
欢	eno
泾	enom
涨	enpo
